row,identifier,column,original,new,variation
59,b5d858b9-f269-4daf-9e3c-dacad0db9f19,personName,Randy Stein,R. Stein,Name Abbreviation
60,cf61fbd5-15be-46c0-9bbe-10d2b4a50102,personName,James Kim,J. Kim,Name Abbreviation
61,898cc7ae-fa29-4675-b1a0-9fb4143f5774,personName,Jacqueline Williams,Williams Jacqueline,Name Order Change
61,898cc7ae-fa29-4675-b1a0-9fb4143f5774,knowsLanguage,nl,Dutch,Language Representation Change
62,666fd7d1-0bea-4838-a9c6-c559d42f0328,personName,Darryl Bell,D. Bell,Name Abbreviation
62,666fd7d1-0bea-4838-a9c6-c559d42f0328,birthDate,1963-04-26,26-04-1963,Birth Date Format Change
64,d5221afa-f98d-434f-9904-6f5305039e3b,knowsLanguage,nl,Dutch,Language Representation Change
64,d5221afa-f98d-434f-9904-6f5305039e3b,personName,Gail Gomez,G. Gomez,Name Abbreviation
65,b8d0b72f-3da8-4e21-96a9-19ab1f8f1161,birthDate,1969-05-16,16-05-1969,Birth Date Format Change
65,b8d0b72f-3da8-4e21-96a9-19ab1f8f1161,personName,Kathryn Gonzalez,K. Gonzalez,Name Abbreviation
66,55468e35-e4f4-4b76-9961-c661232b2901,knowsLanguage,de,German,Language Representation Change
66,55468e35-e4f4-4b76-9961-c661232b2901,personName,Tara Butler,Butler Tara,Name Order Change
66,55468e35-e4f4-4b76-9961-c661232b2901,birthDate,1978-06-20,20-06-1978,Birth Date Format Change
67,d5964131-dcb3-4aaf-9a0b-de0e1ee9f778,birthDate,1983-02-14,14-02-1983,Birth Date Format Change
67,d5964131-dcb3-4aaf-9a0b-de0e1ee9f778,personName,Lauren Kelley,Kelley Lauren,Name Order Change
67,d5964131-dcb3-4aaf-9a0b-de0e1ee9f778,knowsLanguage,nl,Dutch,Language Representation Change
72,699b1daf-498e-4e8a-bf1b-12afbd0a52cb,knowsLanguage,nl,Dutch,Language Representation Change
72,699b1daf-498e-4e8a-bf1b-12afbd0a52cb,birthDate,1963-09-12,12-09-1963,Birth Date Format Change
72,699b1daf-498e-4e8a-bf1b-12afbd0a52cb,personName,Jonathon Hutchinson,Hutchinson Jonathon,Name Order Change
74,e3e47ecd-c406-4a0b-9545-898582d921e1,personName,Gary Gibson,Gibson Gary,Name Order Change
79,3b3a9486-17d6-4b86-bd43-582af150b209,knowsLanguage,nl,Dutch,Language Representation Change
79,3b3a9486-17d6-4b86-bd43-582af150b209,birthDate,1963-01-21,21-01-1963,Birth Date Format Change
79,3b3a9486-17d6-4b86-bd43-582af150b209,personName,Jason Larson,J. Larson,Name Abbreviation
80,740ce720-5902-4b55-abc5-4b18cd6171b5,personName,Travis Williams,T. Williams,Name Abbreviation
80,740ce720-5902-4b55-abc5-4b18cd6171b5,knowsLanguage,nl,Dutch,Language Representation Change
82,c4af6ae4-e900-42e1-9959-156477093d79,knowsLanguage,de,German,Language Representation Change
82,c4af6ae4-e900-42e1-9959-156477093d79,personName,Matthew Sharp,M. Sharp,Name Abbreviation
82,c4af6ae4-e900-42e1-9959-156477093d79,birthDate,1989-11-14,14-11-1989,Birth Date Format Change
84,0362d0d2-a71e-4258-b0bb-d427fb9fe536,birthDate,1967-11-03,03-11-1967,Birth Date Format Change
84,0362d0d2-a71e-4258-b0bb-d427fb9fe536,knowsLanguage,nl,Dutch,Language Representation Change
84,0362d0d2-a71e-4258-b0bb-d427fb9fe536,personName,David Davila,Davila David,Name Order Change
85,3041dbb4-f555-4423-b59d-5c50f16e06ed,knowsLanguage,nl,Dutch,Language Representation Change
85,3041dbb4-f555-4423-b59d-5c50f16e06ed,birthDate,1996-10-11,11-10-1996,Birth Date Format Change
88,cb372bdd-1bcd-4c63-a9c2-b5878c6d0114,birthDate,1986-01-26,26-01-1986,Birth Date Format Change
88,cb372bdd-1bcd-4c63-a9c2-b5878c6d0114,personName,David George,D. George,Name Abbreviation
89,ab9bf856-e20d-45c0-b002-ff39d64d2a15,personName,Nicole Garcia,N. Garcia,Name Abbreviation
89,ab9bf856-e20d-45c0-b002-ff39d64d2a15,birthDate,1966-11-02,02-11-1966,Birth Date Format Change
90,ac96167d-a574-4898-916c-91da2c601312,birthDate,1976-06-28,28-06-1976,Birth Date Format Change
90,ac96167d-a574-4898-916c-91da2c601312,knowsLanguage,nl,Dutch,Language Representation Change
93,99ebc199-6039-44cf-9eeb-907775714c3b,birthDate,1978-07-22,22-07-1978,Birth Date Format Change
93,99ebc199-6039-44cf-9eeb-907775714c3b,personName,Joseph Perez,J. Perez,Name Abbreviation
95,6192083f-d999-4865-ac13-0b103a5dacd6,birthDate,1969-03-22,22-03-1969,Birth Date Format Change
95,6192083f-d999-4865-ac13-0b103a5dacd6,personName,Christopher Nunez,Nunez Christopher,Name Order Change
100,ce63bc0e-31d4-4918-9f71-6c6fb46271ce,personName,Barbara Howard,Howard Barbara,Name Order Change
101,db7ab001-c2c4-4958-8123-1a108b992df8,birthDate,1996-05-03,03-05-1996,Birth Date Format Change
101,db7ab001-c2c4-4958-8123-1a108b992df8,personName,Alexis Hammond,Hammond Alexis,Name Order Change
101,db7ab001-c2c4-4958-8123-1a108b992df8,knowsLanguage,de,German,Language Representation Change
102,7d02b185-ceb7-4271-8277-22d2bff687ab,personName,Jessica Martinez,Martinez Jessica,Name Order Change
102,7d02b185-ceb7-4271-8277-22d2bff687ab,birthDate,1964-02-05,05-02-1964,Birth Date Format Change
103,d4df0f53-2968-4cfb-b599-ef18c859102f,birthDate,1967-08-29,29-08-1967,Birth Date Format Change
103,d4df0f53-2968-4cfb-b599-ef18c859102f,knowsLanguage,nl,Dutch,Language Representation Change
103,d4df0f53-2968-4cfb-b599-ef18c859102f,personName,Aaron Harrison,Harrison Aaron,Name Order Change
104,e79b91bd-8c58-4d1e-b176-df15e74d1bf2,knowsLanguage,nl,Dutch,Language Representation Change
104,e79b91bd-8c58-4d1e-b176-df15e74d1bf2,birthDate,1964-05-13,13-05-1964,Birth Date Format Change
105,3b813bac-b33d-4887-8bff-f1a54dfd1f09,personName,Justin Lawson,Lawson Justin,Name Order Change
107,06722257-bde3-4232-82d5-afa942d09119,knowsLanguage,de,German,Language Representation Change
107,06722257-bde3-4232-82d5-afa942d09119,personName,Shannon Pratt,Pratt Shannon,Name Order Change
107,06722257-bde3-4232-82d5-afa942d09119,birthDate,1979-09-09,09-09-1979,Birth Date Format Change
109,521d283f-6231-4268-bec9-22c004fcebd3,personName,Thomas Bell,T. Bell,Name Abbreviation
112,d6049020-a1b0-4084-825a-07c11dda7a0f,personName,Robert Miller,R. Miller,Name Abbreviation
116,2bc0668a-ad9e-4ee0-9dd7-d64aa7357ac1,personName,Kayla Frederick,Frederick Kayla,Name Order Change
116,2bc0668a-ad9e-4ee0-9dd7-d64aa7357ac1,knowsLanguage,de,German,Language Representation Change
116,2bc0668a-ad9e-4ee0-9dd7-d64aa7357ac1,birthDate,1973-02-06,06-02-1973,Birth Date Format Change
119,406b10a3-c786-41ce-b9ad-729f555e80af,knowsLanguage,de,German,Language Representation Change
119,406b10a3-c786-41ce-b9ad-729f555e80af,personName,Richard Austin,Austin Richard,Name Order Change
119,406b10a3-c786-41ce-b9ad-729f555e80af,birthDate,1987-07-11,11-07-1987,Birth Date Format Change
120,ff6b8936-156a-455f-a8dd-66aa5e928c94,personName,Morgan Ward,Ward Morgan,Name Order Change
120,ff6b8936-156a-455f-a8dd-66aa5e928c94,birthDate,1994-05-20,20-05-1994,Birth Date Format Change
121,7867bda9-bba4-4d8a-9cba-29ce6432ecf9,birthDate,1996-10-20,20-10-1996,Birth Date Format Change
121,7867bda9-bba4-4d8a-9cba-29ce6432ecf9,personName,Brian Santiago,Santiago Brian,Name Order Change
122,3609a69d-3b08-402b-adbd-3b474750fc5e,knowsLanguage,de,German,Language Representation Change
122,3609a69d-3b08-402b-adbd-3b474750fc5e,birthDate,1985-11-30,30-11-1985,Birth Date Format Change
122,3609a69d-3b08-402b-adbd-3b474750fc5e,personName,James Barrera,J. Barrera,Name Abbreviation
126,3a3e41a9-69cc-4315-a805-fa4b895f5005,personName,Olivia Lee,Lee Olivia,Name Order Change
126,3a3e41a9-69cc-4315-a805-fa4b895f5005,birthDate,1974-07-19,19-07-1974,Birth Date Format Change
126,3a3e41a9-69cc-4315-a805-fa4b895f5005,knowsLanguage,de,German,Language Representation Change
127,e7ff2b28-94f5-4a32-a4f2-6813037105b1,personName,Suzanne Hale,S. Hale,Name Abbreviation
127,e7ff2b28-94f5-4a32-a4f2-6813037105b1,birthDate,1960-10-12,12-10-1960,Birth Date Format Change
128,fa92f71c-a405-43b3-9c4e-c5395a1a4620,personName,April James,James April,Name Order Change
128,fa92f71c-a405-43b3-9c4e-c5395a1a4620,birthDate,1976-06-26,26-06-1976,Birth Date Format Change
130,82463114-c998-4211-b6f0-2f2d05249309,knowsLanguage,de,German,Language Representation Change
130,82463114-c998-4211-b6f0-2f2d05249309,personName,Miss Dawn Evans,M. Dawn Evans,Name Abbreviation
132,f9957bea-a99c-4f4f-97ff-cb81bbcb6006,personName,Michael Garcia,Garcia Michael,Name Order Change
132,f9957bea-a99c-4f4f-97ff-cb81bbcb6006,knowsLanguage,de,German,Language Representation Change
133,0c869d23-359b-4e6c-95c2-3ab8c464b14b,personName,Carol Diaz,Diaz Carol,Name Order Change
134,f8f1c356-106a-4b37-a458-86683a3000e6,personName,Kristin Martinez,Martinez Kristin,Name Order Change
134,f8f1c356-106a-4b37-a458-86683a3000e6,birthDate,1970-12-07,07-12-1970,Birth Date Format Change
135,8cd90c61-d7e4-4a66-837a-1e9c382b1ae8,birthDate,1972-10-07,07-10-1972,Birth Date Format Change
135,8cd90c61-d7e4-4a66-837a-1e9c382b1ae8,personName,Heidi Howard,Howard Heidi,Name Order Change
137,d55300f2-663e-4500-aa45-d287615e2bb3,personName,Cathy Mckenzie,Mckenzie Cathy,Name Order Change
137,d55300f2-663e-4500-aa45-d287615e2bb3,birthDate,1983-06-01,01-06-1983,Birth Date Format Change
144,82779bb3-d0d8-4dc2-af09-d868a63efbe3,birthDate,1991-02-09,09-02-1991,Birth Date Format Change
144,82779bb3-d0d8-4dc2-af09-d868a63efbe3,personName,Curtis Sanchez,C. Sanchez,Name Abbreviation
145,0c99725b-04a5-441d-86a9-232be797a97a,personName,Alex Garcia,Garcia Alex,Name Order Change
147,f6cd31de-2a3a-4bde-ba35-3fb00630a9c5,birthDate,1971-03-19,19-03-1971,Birth Date Format Change
147,f6cd31de-2a3a-4bde-ba35-3fb00630a9c5,knowsLanguage,nl,Dutch,Language Representation Change
147,f6cd31de-2a3a-4bde-ba35-3fb00630a9c5,personName,Mary Gonzalez,Gonzalez Mary,Name Order Change
148,ee2aafe9-9a59-4140-802c-7a6c3e3f40cc,personName,Melissa Erickson,Erickson Melissa,Name Order Change
150,3b5e3ff8-06db-43ae-a6ca-2e67c3d101f3,birthDate,1994-01-28,28-01-1994,Birth Date Format Change
150,3b5e3ff8-06db-43ae-a6ca-2e67c3d101f3,personName,Caroline Wade,Wade Caroline,Name Order Change
151,51853f6a-2079-4452-a531-574beba00297,birthDate,1986-12-23,23-12-1986,Birth Date Format Change
151,51853f6a-2079-4452-a531-574beba00297,knowsLanguage,de,German,Language Representation Change
151,51853f6a-2079-4452-a531-574beba00297,personName,Angela Reed,Reed Angela,Name Order Change
152,30860f35-5c27-421d-80e5-1d91eafe7d43,birthDate,2000-01-06,06-01-2000,Birth Date Format Change
152,30860f35-5c27-421d-80e5-1d91eafe7d43,personName,Dawn Richards,D. Richards,Name Abbreviation
154,7945f41a-232f-4fae-8be4-85f737028e97,personName,Michael Dunn,M. Dunn,Name Abbreviation
154,7945f41a-232f-4fae-8be4-85f737028e97,birthDate,1993-10-13,13-10-1993,Birth Date Format Change
155,e2fd8534-38dd-462f-96d3-3e2f09474afe,personName,Michael Cobb,M. Cobb,Name Abbreviation
155,e2fd8534-38dd-462f-96d3-3e2f09474afe,birthDate,1970-08-15,15-08-1970,Birth Date Format Change
156,57843e01-93b0-48ac-8f03-8d6a08055d83,personName,Patricia Ball,P. Ball,Name Abbreviation
156,57843e01-93b0-48ac-8f03-8d6a08055d83,birthDate,1984-02-29,29-02-1984,Birth Date Format Change
157,e5e99b78-b25f-4b0f-921c-baf8ef1ac751,personName,Timothy Spears,Spears Timothy,Name Order Change
159,ec58cdb4-2fc6-42c0-a32c-21f087b967f8,birthDate,1994-06-09,09-06-1994,Birth Date Format Change
159,ec58cdb4-2fc6-42c0-a32c-21f087b967f8,knowsLanguage,nl,Dutch,Language Representation Change
159,ec58cdb4-2fc6-42c0-a32c-21f087b967f8,personName,Lisa Burke,Burke Lisa,Name Order Change
160,65bafead-a230-4023-b2bd-c3d683ed9b5e,birthDate,1989-09-22,22-09-1989,Birth Date Format Change
160,65bafead-a230-4023-b2bd-c3d683ed9b5e,personName,Heather Griffith,H. Griffith,Name Abbreviation
163,1a78701e-5c52-4557-8ae3-690a3d65d36f,knowsLanguage,nl,Dutch,Language Representation Change
163,1a78701e-5c52-4557-8ae3-690a3d65d36f,personName,Ashlee Brown,A. Brown,Name Abbreviation
164,16f27279-01c6-423f-aeea-933030b91497,personName,Joseph Martin,J. Martin,Name Abbreviation
164,16f27279-01c6-423f-aeea-933030b91497,birthDate,1970-04-21,21-04-1970,Birth Date Format Change
165,f7480915-dfe1-4599-917a-9d3adb9d625e,birthDate,1999-04-26,26-04-1999,Birth Date Format Change
165,f7480915-dfe1-4599-917a-9d3adb9d625e,personName,Daniel James,James Daniel,Name Order Change
166,c55c1e8a-ab91-40ba-ba15-6be5625e2cd7,birthDate,1977-07-26,26-07-1977,Birth Date Format Change
166,c55c1e8a-ab91-40ba-ba15-6be5625e2cd7,personName,Anita Boyd DDS,A. Boyd DDS,Name Abbreviation
168,b4275c48-9ebf-4683-939f-aef5d3cce919,personName,Julia Ross,Ross Julia,Name Order Change
168,b4275c48-9ebf-4683-939f-aef5d3cce919,birthDate,1971-07-31,31-07-1971,Birth Date Format Change
170,1b3e39be-ace2-41fb-ba2f-8debdf30bfa3,personName,Julie Duarte,Duarte Julie,Name Order Change
170,1b3e39be-ace2-41fb-ba2f-8debdf30bfa3,knowsLanguage,de,German,Language Representation Change
171,5b473ab4-a29b-446d-98d6-d1114c149a2f,personName,Timothy Pena MD,T. Pena MD,Name Abbreviation
171,5b473ab4-a29b-446d-98d6-d1114c149a2f,knowsLanguage,de,German,Language Representation Change
173,7bbb5c50-cb8a-4f19-980f-a40fc333af1f,birthDate,1977-12-19,19-12-1977,Birth Date Format Change
173,7bbb5c50-cb8a-4f19-980f-a40fc333af1f,personName,Michael Lee,Lee Michael,Name Order Change
175,b9561b91-70ee-4eed-9747-26eaf92272d9,knowsLanguage,de,German,Language Representation Change
175,b9561b91-70ee-4eed-9747-26eaf92272d9,birthDate,1972-03-31,31-03-1972,Birth Date Format Change
175,b9561b91-70ee-4eed-9747-26eaf92272d9,personName,Diana Navarro,D. Navarro,Name Abbreviation
176,d564aef7-fc0e-4f15-97be-e0fb6eb8726a,personName,William Collins,Collins William,Name Order Change
176,d564aef7-fc0e-4f15-97be-e0fb6eb8726a,knowsLanguage,nl,Dutch,Language Representation Change
178,f8c93b8b-1b24-4427-a624-7c06e63eebbc,personName,Michelle Castro,Castro Michelle,Name Order Change
178,f8c93b8b-1b24-4427-a624-7c06e63eebbc,knowsLanguage,de,German,Language Representation Change
178,f8c93b8b-1b24-4427-a624-7c06e63eebbc,birthDate,1979-07-06,06-07-1979,Birth Date Format Change
179,e97d01e6-31e1-47c8-a80e-6a52f6c921e2,birthDate,1966-03-04,04-03-1966,Birth Date Format Change
183,f893379e-9180-4d4e-8bd4-13492fa1b02d,knowsLanguage,de,German,Language Representation Change
183,f893379e-9180-4d4e-8bd4-13492fa1b02d,birthDate,1993-06-21,21-06-1993,Birth Date Format Change
183,f893379e-9180-4d4e-8bd4-13492fa1b02d,personName,Brian Lopez,Lopez Brian,Name Order Change
184,751a832e-a18d-458f-92da-f95899b05523,personName,Robert Anderson,Anderson Robert,Name Order Change
184,751a832e-a18d-458f-92da-f95899b05523,birthDate,1975-01-11,11-01-1975,Birth Date Format Change
185,2fcfe28f-f1b3-49d4-bb3e-3eca2f4f1fe0,personName,Melissa Jordan,Jordan Melissa,Name Order Change
185,2fcfe28f-f1b3-49d4-bb3e-3eca2f4f1fe0,knowsLanguage,de,German,Language Representation Change
185,2fcfe28f-f1b3-49d4-bb3e-3eca2f4f1fe0,birthDate,1962-07-13,13-07-1962,Birth Date Format Change
186,36b52bde-08bd-4713-b044-e72f88d4005e,knowsLanguage,de,German,Language Representation Change
186,36b52bde-08bd-4713-b044-e72f88d4005e,birthDate,1981-04-12,12-04-1981,Birth Date Format Change
186,36b52bde-08bd-4713-b044-e72f88d4005e,personName,Michaela Jones,Jones Michaela,Name Order Change
187,458b382a-39be-4490-bc38-47f2303c6066,knowsLanguage,nl,Dutch,Language Representation Change
187,458b382a-39be-4490-bc38-47f2303c6066,birthDate,1986-05-09,09-05-1986,Birth Date Format Change
187,458b382a-39be-4490-bc38-47f2303c6066,personName,Kenneth Thompson,K. Thompson,Name Abbreviation
188,86268bc5-fb1d-4776-9d90-f14f901173ff,personName,Ashley Meyers,A. Meyers,Name Abbreviation
188,86268bc5-fb1d-4776-9d90-f14f901173ff,birthDate,1986-01-22,22-01-1986,Birth Date Format Change
190,33e732ba-a98f-4794-a008-e092515945b3,birthDate,1978-07-22,22-07-1978,Birth Date Format Change
190,33e732ba-a98f-4794-a008-e092515945b3,knowsLanguage,nl,Dutch,Language Representation Change
190,33e732ba-a98f-4794-a008-e092515945b3,personName,Cameron Hawkins,Hawkins Cameron,Name Order Change
192,beac3189-6da6-4651-8d70-61fc858f12c1,personName,Sheila Ortiz,S. Ortiz,Name Abbreviation
192,beac3189-6da6-4651-8d70-61fc858f12c1,birthDate,1985-06-20,20-06-1985,Birth Date Format Change
192,beac3189-6da6-4651-8d70-61fc858f12c1,knowsLanguage,de,German,Language Representation Change
195,6f4c5ed5-dac1-442b-8060-84594b9dc20f,birthDate,1985-08-24,24-08-1985,Birth Date Format Change
195,6f4c5ed5-dac1-442b-8060-84594b9dc20f,personName,Breanna Mitchell,B. Mitchell,Name Abbreviation
198,6dc67412-1ea0-4961-af0e-0403b33c8fd9,personName,Richard Espinoza,R. Espinoza,Name Abbreviation
198,6dc67412-1ea0-4961-af0e-0403b33c8fd9,birthDate,1959-10-28,28-10-1959,Birth Date Format Change
201,f10fb7ea-a337-4c22-bf81-129d7d9660bf,personName,Jessica Farrell,Farrell Jessica,Name Order Change
201,f10fb7ea-a337-4c22-bf81-129d7d9660bf,knowsLanguage,de,German,Language Representation Change
201,f10fb7ea-a337-4c22-bf81-129d7d9660bf,birthDate,1984-09-17,17-09-1984,Birth Date Format Change
202,f168e8c8-f08d-4031-99d9-84c3d23e8189,personName,Alison Young,Young Alison,Name Order Change
202,f168e8c8-f08d-4031-99d9-84c3d23e8189,birthDate,2000-01-30,30-01-2000,Birth Date Format Change
205,6c40e980-8c84-4bde-be25-cf2f1c029e94,knowsLanguage,nl,Dutch,Language Representation Change
205,6c40e980-8c84-4bde-be25-cf2f1c029e94,birthDate,1998-09-21,21-09-1998,Birth Date Format Change
205,6c40e980-8c84-4bde-be25-cf2f1c029e94,personName,Judy King,King Judy,Name Order Change
206,5b400d5c-9ced-4b4d-94c5-6d61001cfd71,personName,Patricia Mckenzie,P. Mckenzie,Name Abbreviation
206,5b400d5c-9ced-4b4d-94c5-6d61001cfd71,knowsLanguage,de,German,Language Representation Change
209,8e2fb404-5dda-433f-ab6f-12797f776986,personName,Laura Cooke,Cooke Laura,Name Order Change
209,8e2fb404-5dda-433f-ab6f-12797f776986,birthDate,1966-05-15,15-05-1966,Birth Date Format Change
212,2c099e1a-803d-47cb-ad37-eef037ab02a9,knowsLanguage,de,German,Language Representation Change
212,2c099e1a-803d-47cb-ad37-eef037ab02a9,personName,Gabriel Hunt,G. Hunt,Name Abbreviation
212,2c099e1a-803d-47cb-ad37-eef037ab02a9,birthDate,1962-05-06,06-05-1962,Birth Date Format Change
213,f5bfd913-72d1-4af0-a2a5-f0cb9fd9572a,personName,Dr. Angela Cruz DVM,D. Angela Cruz DVM,Name Abbreviation
214,203fb98a-a752-41de-9966-323ddeb26469,knowsLanguage,nl,Dutch,Language Representation Change
214,203fb98a-a752-41de-9966-323ddeb26469,personName,Michael Paul,M. Paul,Name Abbreviation
214,203fb98a-a752-41de-9966-323ddeb26469,birthDate,1997-09-12,12-09-1997,Birth Date Format Change
215,1dc1d806-6dda-4c9e-a391-cffa15ae14f2,personName,Cole Price,Price Cole,Name Order Change
215,1dc1d806-6dda-4c9e-a391-cffa15ae14f2,knowsLanguage,nl,Dutch,Language Representation Change
216,6e811100-81d8-4c78-a5ac-f63222750abb,personName,Barbara White,White Barbara,Name Order Change
