identifier,text,city,postalCode,country
1c7bc6c8-d62f-4e8c-abca-09663eef04eb,Sarv Circle 23,Anneville,83054,EE
da595d3e-a0fe-4e1b-b910-18255057df41,Kuus Passage 1,Võsubury,30330,EE
21ab9e3d-fdf4-4f09-bd87-d79311705ee3,Raivo Ford 78,Kütttown,36650,EE
eafe0d1f-6e79-4d5f-9314-70c8acb14314,Jefimov Locks 88,Lake Matiport,30371,EE
1ae3237f-aa88-4965-9654-7b4d317588ff,Elizelaan 2,Rien,2167 YB,NL
15f82b2f-bc89-4faf-8cf4-627782dcf736,Lucashof 89,Beinsdorp,1040 RN,NL
100cfe80-2132-4c24-81b3-77bd59eae69a,Maritweg 143,Den Dungen,3352 ZE,NL
e31b328e-3a32-4205-9e26-b29d8615ad73,Sethring 78,Losser,9549 RA,NL
b2b5591a-9d7f-442b-85e2-b0787a3e9905,Kyaraweg 147,Kattendijke,2578 DX,NL
f2aaaaf0-e8eb-4ae2-9bc1-c77afa29fad9,Kikipad 130,Mill,8908 UH,NL
054efa50-4962-473b-a0f9-986ab2363b7e,Félineweg 114,Hoofddorp,5994 VN,NL
3b6b8130-f687-4f7a-b683-4a01bdb5ff1d,Lexdreef 34,Uithuizermeeden,1278 TQ,NL
44cfc3ca-c3fa-4764-9fd8-a0ca3b036dfd,Rensring 147,Achterveld,1965 WF,NL
2542cff6-0710-41c5-802e-3a7aa1515f1e,Sennaring 75,Beilen,3698 CH,NL
335be677-df1b-425e-af66-be879a4c2227,Nikkiweg 141,Dearsum,8883 YA,NL
970ea1aa-c76f-48ae-adf3-d0246f88c633,Mirteweg 112,Garsthuizen,4179 IJ,NL
df66946a-0116-4168-bac8-a7602d5df04a,Ilseboulevard 58,Elburg,6941 VQ,NL
700e6a4f-2543-43f8-b349-f09340601a0d,Colinbaan 105,Ameide,1088 FP,NL
a7fd116e-d8f5-417f-85bd-ca63a100ba8f,Katepad 61,Wilp,3670 EC,NL
929c8ac4-bf28-40fb-a8cb-2f6eee5e256e,Dewilaan 36,Hantumeruitburen,1392 BN,NL
eae9c546-446c-4893-89d3-cdb9ebb9aa72,Rikpad 149,Dirksland,6850 ER,NL
f67d2311-33a8-49fd-9091-6a5f97ad1730,Kaisingel 138,Opende,5830 BU,NL
317f1e9b-2ee6-416d-b51e-7fc8d6ab5c68,Lunaring 21,Haringhuizen,6081 ZG,NL
b41fdcad-e36a-4265-ae51-686507afe1c5,Morrisboulevard 110,Emmeloord,6368 NR,NL
69259d81-2a2e-4ea7-9834-aeaf0f332bab,Olafstraat 113,Lutjebroek,6617 WI,NL
5f7e3898-2ddb-4eff-9da7-2833e1bfbdfa,Ravisteeg 77,Den Hoorn,6753 AG,NL
9883502e-7f32-4e78-a7fe-651efd8c2a6f,Suusbaan 58,Goënga,1048 FS,NL
b31190b6-21e4-4b25-adb2-bb78765d13de,Hannalaan 34,Oudemolen,9767 IG,NL
c04bd397-54a9-4898-bcb7-b35d68298389,Emirring 54,Anerveen,8763 WJ,NL
25b09e48-1ca1-4fa7-83b8-bbaa7e24238e,Novapad 64,Zandpol,3393 KY,NL
45baf444-bb7e-41bf-9b2f-fda39f013834,Lottering 12,Hoogmade,2406 DQ,NL
b098a39f-12e9-43c1-a33a-812367ac9755,Michaelweg 27,Woltersum,7527 KK,NL
fbfa7549-13ee-4ee8-950e-18400e60f583,Stanpad 81,IJsselstein,1567 IW,NL
db03dadf-a10f-4588-b1e1-9146f654f453,Pienweg 7,Loon,2678 UN,NL
055c64dd-e478-40a6-9368-e0d60b46b634,Corneliahof 35,Snakkerburen,2967 UN,NL
c78ad66d-4a9b-4c00-992e-dd37379c05da,Jesselaan 86,Oosterland,3429 II,NL
b366dcbc-abbf-4882-affa-0875e4a7c828,Timboulevard 130,Lunteren,6148 FA,NL
d693bf11-7721-4931-9734-2123e3ed9637,Tijnboulevard 98,Deursen-Dennenburg,9369 CH,NL
35152cba-ec4f-46ab-aa07-cfddee9cee1f,Elizaweg 94,Meerssen,6745 ZI,NL
d2865c01-77f7-4d19-8ee5-ddf0d996f125,Maritboulevard 50,Eppenhuizen,2638 JB,NL
93a7468c-10c1-4f57-bed6-8dc13265b5b3,Finnbaan 52,Leons,6614 ID,NL
94e5efab-8e36-47af-b1c2-d7b2ed384c44,Robinsteeg 109,Rottum,2535 FY,NL
f01688e4-b43b-4ab8-802b-7d666abb6f15,Silstraat 6,Riethoven,5767 JG,NL
358d3e42-ed1e-454f-9fb7-86f4f61ed233,Gärtnerstr. 91,Dürnstein,8549,AT
62fe8d68-95f4-4a1f-a1d2-92ab36f4851f,Engelring 10,Amstetten,8231,AT
98e63241-243f-4229-ace4-8fdc68d60b08,Alexa-Grassl-Straße 18,Schärding,6073,AT
bc67b332-a89d-4114-9841-c24912882f60,Anabella-Hartl-Gasse 91,Mattighofen,1357,AT
6a2ca004-0465-46d5-a086-f2af3059c498,Luisa-Stöckl-Ring 60,Voitsberg,7486,AT
09fa0833-e2fe-46d1-8b64-acd73331cc05,Anabella-Klug-Ring 92,Langenlois,3169,AT
3e903735-4716-4271-b69c-39b9a73d23a6,Anna-Maria-Nussbaumer-Straße 19,Langenlois,7071,AT
425aaf83-4eaa-4a65-942f-4290d7bda791,Beatrice-Aschauer-Gasse 40,Frauenkirchen,4961,AT
47006868-578e-451a-8a99-908598f1d552,Zimmermannstr. 33,Oberpullendorf,5885,AT
269dc3b6-c740-43ac-b14f-7e995a24e786,Jurrelaan 50,Geldrop,7340 LP,NL
5768ba9a-1fa9-4bd6-af25-cbe207fe7ec8,Joeyboulevard 98,Ulrum,9055 LG,NL
71494031-67ef-4e9e-803f-00347399a177,Aydendreef 123,Akersloot,9277 GF,NL
406ec398-9a4a-4a9c-a735-a17352ec0382,Chloélaan 150,Abbenbroek,9819 EB,NL
9f78299c-b9a9-4a03-bf8d-c9f2e3a10464,Jortring 2,Eext,2459 FM,NL
eee13dc0-e1e4-49cf-8dba-6d8f7ab8572c,Timosingel 89,Warstiens,6328 KH,NL
48d46113-b50a-4a15-a0ff-f2cb6857548c,Mathijsstraat 61,Ubbena,8664 SC,NL
2985c817-a937-4c86-9f40-ec4712d527a0,Barthof 44,Boekel,6770 LM,NL
c3629df7-6898-4668-9f18-1e4f394e61fe,Elifboulevard 29,Tiel,7443 CE,NL
a775cc44-ee07-4366-8d2f-e15174c88f42,Wesselhof 101,Noorden,6222 LR,NL
f1521976-65d6-4b7f-8f9a-fd63236e747e,Saarbaan 80,Weiteveen,4009 AY,NL
02299f58-9071-414d-b4f2-ba8e32fa6380,Merelring 6,Ouderkerk aan den IJssel,6019 MI,NL
a2c1e1d4-131b-4956-872a-5ac130c97d34,Aiméesingel 113,Nijeholtpade,1419 XK,NL
f3e50e26-2e07-4578-8e4b-b53cf3dacf72,Evipad 110,Zuidland,6480 AA,NL
5a8fe4b2-8ffd-4977-85b8-93b04d36c61a,Ceylinsingel 98,Heenvliet,3713 EU,NL
0e1cae7a-8122-4b3a-a0b8-024401e32354,Pascal-Krammer-Platz 68,Wilhelmsburg,1802,AT
c77239f2-2d47-40cc-a5c5-063d4c444d95,Widhalmstr. 51,Radstadt,7118,AT
8057b537-92ec-41d0-b2bb-8a67ec5b03af,Stockerstr. 105,Gerasdorf bei Wien,6380,AT
f95cad47-3b5a-4257-a195-ace68506d5ba,Vincent-Friedrich-Ring 121,Friedberg,2489,AT
022c88c0-b563-446c-9cbf-0c64c039c71e,Annika-Schuler-Gasse 17,Linz,8046,AT
4a8b2fae-6209-41c3-afb6-88bbe3a56430,Jolijnsteeg 97,Oudwoude,8582 AO,NL
7c5246f1-8fe5-475b-b771-877e141e39e7,Marinusstraat 115,Bunschoten-Spakenburg,8945 QR,NL
0e8cff18-9e9d-4b77-ba34-b580eda0a0af,Leahbaan 26,Pernis Rotterdam,4372 KD,NL
6f30a7a2-5853-40c4-b053-7fbb2bcdacf3,Lindseydreef 49,Munnekeburen,4505 YN,NL
603fa8f0-1549-4dee-830b-4d6d9575d095,Puckboulevard 64,Legemeer,6939 BJ,NL
b9d2aef5-0fd2-4271-b440-d4eb03ed8da8,Jensweg 69,Nispen,3419 RX,NL
daac3c58-e266-44c0-9848-d32e65f628ac,Youssefhof 97,Warmond,4744 MC,NL
43419ace-febd-4b72-ae24-df89e9c5c130,Juliebaan 30,Barendrecht,2296 TV,NL
61ef4435-69ea-4db8-9541-b40f7635abe4,Annemijnring 16,IJlst,2946 BJ,NL
a7176911-8230-488e-8b29-03f37d2c1e7e,Ashleyhof 106,Wernhout,4372 TZ,NL
2802e605-3fe6-4c84-9615-4be95b698ec7,Triin Road 77,Liivtown,11181,EE
b95a9bfb-827f-4f52-b905-b6dc9e888d32,Jõgi Causeway 101,Lake Aleksander,55297,EE
3899c22a-d4ed-41bd-9692-74a2acbe4ff6,Siim Corners 52,Antsside,88239,EE
55e4ddc4-3d71-4abb-9ace-f37c8d61adb6,Natalja Turnpike 77,Markomouth,53409,EE
de4452be-1567-43c9-af7a-98c53abe5a8d,Andreev Mountains 144,Roosilehtside,42298,EE
aace1c9a-1c59-4fa1-b543-be48696b7284,Galina Landing 107,Sandermouth,60040,EE
9b935e61-28d1-4f89-87f9-e252d474ae8e,Ojala Mall 143,North Dmitrihaven,69451,EE
a2d4870a-e360-4ea5-a600-bef84b4e2db2,Kaljuvee Valley 79,Viiraburgh,86485,EE
62d55697-ec36-42c8-ad3f-a0b6de8a6d76,Nina Courts 41,New Vello,49095,EE
636164d8-bb88-41b8-9be5-f8a138462e03,Priit Freeway 68,Abramovfurt,49182,EE
8c4990e1-820d-4c8e-a991-334cba4dede6,Ina-Hager-Ring 132,Ternitz,6479,AT
5cf10f05-e927-4cd1-8763-9a9fa4134092,Constanze-Hirschmann-Gasse 142,Drosendorf-Zissersdorf 1,3665,AT
cc552e29-1187-4fe4-81b4-f9bd2a80c809,Emilija-Mayerhofer-Gasse 80,Bad Leonfelden,3548,AT
ea5fe267-5877-4d3a-a8b5-a07a9659a673,Obermayrring 94,Sankt Pölten,2375,AT
71f00da3-b54d-4beb-af4d-0b016700c29f,Buchbergergasse 123,Sankt Veit an der Glan,4320,AT
73c46a50-a041-4cfb-9736-99ffc852ed2e,Florentina-Haider-Straße 18,Zwettl,1226,AT
2c12129c-487b-4acf-8535-c13d4d697998,Tilk Gardens 128,Tomingasview,46417,EE
c44117e6-2c98-49d9-bd88-deb7fc584d66,Bondarenko Dam 122,Port Martin,56228,EE
f84b85e7-da12-4d3a-bcaa-db1a7dcd07ad,Katrin Parks 68,South Kadriport,72226,EE
eedbba8b-0f83-41ee-b2ac-89bdb2998fa3,Linda Expressway 107,Mõttustown,82276,EE
1ba43eaf-84f4-4346-9301-6d9e87d3b238,Vaht Prairie 14,Gerassimovville,28799,EE
572b4813-53e1-4084-8089-a684556ec366,Salumets Ramp 103,Mihkeltown,71568,EE
