identifier,contactType,phone,email,availableLanguage,fax,changed
018ec483-002d-4704-a591-f7121f109814,Referrals,0090 292719,Nash.Gastroenterologic@dept.healthcare.org,"['nl', 'en']",+31(0)082 111913,
0f650742-2995-487d-8d66-ac3dcdc82bdf,Information,+3168-2180831,Nash.Pharmcy@dept.healthcare.org,['nl'],+31(0)585-898643,True
a94ee76a-b32c-4886-b4c0-4a4a2eaff0f2,Staff,(0221) 772442,Nash.Gynecologic@dept.healthcare.nl,"['nl', 'en']",025 5318724,True
24b8f55d-0d4e-421a-8040-ca8152159c10,Referrals,053 6068424,Nash.Nursig@dept.healthcare.org,['nl'],041 5604324,True
3bf9834e-1e4b-4430-b389-43638d2c5734,Appointments,040 0925263,Nash.Anesthesia@dept.healthcare.org,"['nl', 'en']",(0083) 787995,
c2410a26-3743-4a08-8207-285754338dfc,Referrals,+31(0)903-976622,Nash.Neurologic@dept.healthcare.nl,"['nl', 'en']",+31(0)67-3412904,True
bcb8048d-8a35-4c1d-b48b-f7e5d653d0ad,Information,(071)-4954446,Nash.Hematologic@dept.healthcare.nl,['nl'],0788 364600,True
a36ad47b-fa78-4b55-ad6c-b324cc939275,Appointments,001-379-429-0953x4613,LopezKey.Midwifrey@dept.healthcare.org,['de'],+1-572-275-7274x758,True
51c00a54-367e-48bb-b72c-4bf418da5400,Information,4776198027,LopezKey.Mpidwifery@dept.healthcare.org,"['de', 'en']",345-327-5051,True
b580f1e2-febb-4082-b6dc-2ad7039fd5fc,Emergency,(676)926-3634x12755,LopezKey.Musculoskelteal@dept.healthcare.org,"['de', 'en']",732-472-5372x18997,True
59a2e6be-b01e-44fc-a843-287e168c747a,Information,642.328.2731,LopezKey.Speech@dept.healthcare.de,['de'],3614677220,True
b5e7e2a3-952e-4be5-974e-9115595eff22,Emergency,352-764-2213x857,LopezKey.Dentistry@dept.healthcare.de,['de'],864.370.2527x33127,True
ce548cd4-756c-4cc4-acdc-2cade3f2c891,Appointments,684.940.9924x3881,LopezKey.Otolaryngologic@dept.healthcare.de,"['de', 'en']",(810)878-8899,True
6cfb3223-145a-444f-b19b-d8c718c80321,Referrals,(601)580-2105,LoepzKey.Primary@dept.healthcare.org,['de'],001-510-232-5689x56360,True
14d52db8-e5f8-4611-a5dd-668d5d5cf719,Referrals,875-786-7548x4785,Williams.Midwifery@dept.healthcare.de,"['de', 'en']",(540)337-4662x2732,True
b3d81104-db8c-4c75-af34-9ac8b966385a,Referrals,5807119229,Williams.Gastroentberologic@dept.healthcare.org,['de'],(911)667-2598x393,True
0f656ed2-eb4f-4719-9e3e-491663c86f62,Information,381-716-0035x63569,Williams.Toxiacologic@dept.healthcare.org,['de'],779-474-3605,True
f6813b58-61a4-4ebf-9182-d88026a2b3cc,Referrals,001-616-747-4060x712,Williiams.Speech@dept.healthcare.org,['de'],492-377-0952x6042,True
fc225cc3-de72-4d9a-8062-139034418eef,Appointments,713-613-7306,Williams.Emregency@dept.healthcare.org,['de'],(894)778-0476x370,True
480c1b3b-1ba7-4f85-bd45-9ca375583e3f,Emergency,(844)892-6012,Williams.Gastroenterologic@dept.healthcare.de,['de'],319-438-1357,True
e3a6bd21-31ef-4aa3-a3be-c8bb4f59c232,Referrals,(773)284-9912,Williams.Onncologic@dept.healthcare.org,"['de', 'en']",+1-754-683-9409x651,True
ce58d610-6271-4255-a816-a499b2fa68e9,Emergency,369.274.0297,Wlliams.Public@dept.healthcare.org,"['de', 'en']",+1-801-626-6923x81006,True
e6cd33fb-142d-4319-a4bf-8bb8e02fb5a0,Information,(678)703-5729x33031,Williams.Gynecologic@dept.healthcare.org,['de'],542-829-6406x19726,True
60bdf42e-5097-4402-86fd-94430cc362f5,Referrals,001-318-412-2405,Wilcliams.Dentistry@dept.healthcare.org,['de'],+1-589-928-6405x208,True
5cce3666-9315-443d-9c0d-bff43ab1bd8f,Referrals,347.571.9451x65015,Bardy.Endocrine@dept.healthcare.org,"['et', 'en']",001-900-504-7180,True
5daefd54-719b-48af-a9bd-02001825d7a6,Referrals,001-999-641-5126,Brady.Gastroenterologic@dept.healthcare.et,['et'],(449)232-8774x711,True
8ddc8cd0-97d8-4648-b994-d81aaea77b43,Referrals,654-695-1507x9259,Brady.Musculoskeletal@dept.healthcare.org,['et'],207.723.5310x6769,
9722835d-aa22-48fc-bad9-fa501f8d0d9c,Appointments,9047689415,Brady.Toxicloogic@dept.healthcare.org,"['et', 'en']",553-308-3780x650,True
d60c0cb7-a077-4ea6-9c75-f719f13a1572,Appointments,+1-245-243-6001x29592,Brady.Cardiovascular@dept.healthcare.org,['et'],+1-829-821-2282,
d54b76b5-664c-4847-83a0-ed03a95b2561,Emergency,463-459-4238,Garcia.Psychiatric@dept.healthcare.de,['de'],915.499.8919x25474,True
cc9a262f-1e8c-49b6-875a-9caa9eabcd78,Referrals,+1-752-463-3297x96930,Garcia.Public@dept.healthcare.de,['de'],5768910649,True
a1ea3549-f971-4d7b-9a6e-878712ab9561,Staff,(825)518-9729,Garcita.Midwifery@dept.healthcare.org,['de'],001-224-907-5758x349,True
3e999064-231a-4440-a4c8-97ec09bb1299,Information,+1-962-449-8326x975,Garcia.Renla@dept.healthcare.org,['de'],6968654247,True
b4a42066-1df0-46e6-9353-f58938a17f65,Information,461-244-2234x2253,Garcia.Surgical@dept.healthcare.de,['de'],724-394-4204,True
b0f64ea7-d088-4f17-a9ec-26fbbc5accc5,Staff,416.261.9485,Garcia.Prmiary@dept.healthcare.org,"['de', 'en']",8263505589,True
9c4d900d-f88d-4361-9f92-50f1b33e1531,Information,(891)563-5112x43236,Gsarcia.Gynecologic@dept.healthcare.org,['de'],708.746.3819,True
1dcf2045-32b0-48ea-ae2a-366c73d59410,Information,519-441-3491x16725,Garcia.Pulmonary@dept.healthcare.org,['de'],520.890.7788,
a9aa7e4d-787d-42bd-897e-b58183ca58c4,Information,672.893.9656,Garcia.Pdiatric@dept.healthcare.org,['de'],(629)287-1395,True
271e9ead-443e-470d-90f1-34ddc326f671,Appointments,9987000694,Garcia.Anestheesia@dept.healthcare.org,['de'],+1-208-361-6405x0051,True
14d6bf1a-0101-4588-9cd5-714f35d4f356,Staff,(079) 4630887,SantanaShaw.Urologic@dept.healthcare.nl,['nl'],+31326 713312,True
68516e2b-8b89-45f2-9ba7-6102389a95bd,Information,+31(0)046 977965,SantanaShaw.Gynecologic@dept.healthcare.nl,"['nl', 'en']",(014) 8835438,True
a1436427-63d9-4719-ad1e-c95b87745c92,Emergency,+31(0)53 6734856,SantanaShawRespiratory@dept.healthcare.org,"['nl', 'en']",+31977 121844,True
886fc8c7-cc3f-4cfd-a7d1-05d3618e203d,Appointments,(099)-0102983,SantanaaShaw.Urologic@dept.healthcare.org,"['nl', 'en']",+31(0)56 2847314,True
cea683f9-4019-4417-9337-daea45e86ea1,Referrals,+31(0)02 0865150,SantanaShaw.Rheumatologic@dept.healthcare.nl,"['nl', 'en']",(0834)-606772,True
6508528c-30ff-4ee7-9253-bacde3475b0d,Appointments,+31419-921707,SantanaShaw.Dentistry@dept.healthcare.nl,['nl'],+3146-2082263,True
fceaec04-208e-4576-8069-372419d69ec6,Information,048-5521781,SantanaShaw.Primarry@dept.healthcare.org,['nl'],+3122 5638455,True
4b421d66-467d-4c4a-b09e-94f20d7ce00a,Appointments,+31(0)71-1726268,SantanaShaw.Anesthesia@dept.healthcare.org,"['nl', 'en']",056 4421978,
61cbe7f5-4984-4593-83c8-15ee7faa27b5,Information,034 8340854,SantanaShaw.Surgicpal@dept.healthcare.org,['nl'],+31(0)203-943740,True
7690e5d2-70f6-456c-ae90-8f11927b6161,Appointments,+31(0)73 0808776,Chan.Rheumatologic@dept.healthcare.org,"['nl', 'en']",0759-981290,
9aa3fe13-dc87-487b-bee2-7633c3f76fe6,Emergency,(0953) 248826,Cjhan.Diet@dept.healthcare.org,['nl'],+3146 3195626,True
5f053842-f2f6-44ba-88ae-bfb341c4d9bf,Emergency,+31(0)40-3753150,Chan..Gastroenterologic@dept.healthcare.org,['nl'],+31(0)639-636510,True
2568a42e-305a-441c-a409-750c0f4b3105,Information,+31(0)38 7027910,Chan.Endocrine@dept.healthcare.nl,"['nl', 'en']",074-3882542,True
9ca21699-a2c9-4de9-84b3-bbf65b49f199,Referrals,+31(0)70-5750575,Chan.Infectious@dept.healthcare.org,['nl'],(0118)-449657,
b304c9ad-88f3-49d1-88f3-9d3e2644ceb2,Staff,(089)-6304883,Chan.Toxicologic@dept.healthcare.org,"['nl', 'en']",(0186) 180455,
c7039d02-9d84-4d06-bb88-24987c21ce85,Emergency,(042) 3373345,Chan.Surgical@dept.healthcare.nl,['nl'],(0952) 163399,True
f05d98af-cba6-4cf0-9c73-25e5ff8fad10,Staff,6055174476,Smith.Decrmatology@dept.healthcare.org,['de'],+1-885-789-1565x18297,True
8911ee29-1a4d-47b4-9126-ca2ef7c45af4,Emergency,001-868-851-8970x3860,Smith.Midwifery@dept.healthcare.org,"['de', 'en']",001-688-531-1568,
aa9f4f2b-dd43-48c3-9ce2-c70fa545264e,Emergency,428.340.1727x482,Smith.Musculoskeletal@dept.healthcare.de,"['de', 'en']",+1-838-927-0185x56531,True
8e70e994-2f18-41cc-977b-d998b504424c,Information,+1-441-795-0924,Smith.Radiography@dept.healthcare.org,"['de', 'en']",736.858.0559x7376,
bc725e70-b73c-4372-8c43-3de8d4b16c7f,Appointments,+1-916-238-0262x16583,Smith.Speech@dept.healthcare.de,['de'],313-281-1819,True
46e9a86c-655a-4fe9-9088-d3c03d30324c,Emergency,(972)853-3296,Smith.Podiatric@dept.healthcare.de,"['de', 'en']",2924904106,True
5768ffff-5e5e-4e14-90ef-253dde9c5dce,Appointments,(576)959-0019x977,Carter.Cardiovascuar@dept.healthcare.org,"['et', 'en']",504.730.3584x06533,True
4371da9f-449f-4cbd-b56c-d90900687a25,Information,491.388.2159,Carter.Pbulmonary@dept.healthcare.org,"['et', 'en']",001-346-443-2133x440,True
6bc49dd9-dede-40a9-8832-750b1e8c5a3a,Referrals,279.871.5682,Carter.Cardiovascular@dept.healthcare.org,"['et', 'en']",+1-599-929-2658x8335,
c5573cb2-521b-464b-83ba-160eec3e0743,Referrals,518.996.4982x3071,Carter.Optometrci@dept.healthcare.org,"['et', 'en']",294-440-9541x0907,True
e7ba1898-efe2-4ecc-a846-74da753e3e76,Appointments,759-797-0897x64903,Carter.Oncologic@dept.healthcare.et,['et'],226-836-0049x83429,True
e3fc800a-3db0-461e-8560-e946c8474965,Referrals,668-518-7344x0594,Carter.PPediatric@dept.healthcare.org,"['et', 'en']",001-445-584-4671x163,True
bbf01096-ec12-41b4-b910-7711d26ba6de,Staff,349.910.0138x6581,Carter.Anesthesia@dept.healthcare.et,['et'],577-204-8875x9728,True
0cc3e748-ad26-495a-92c2-983191bfd615,Staff,426.623.0577x154,Carter.Urologic@dept.healthcare.et,['et'],9387443171,True
bf5f798b-b3ac-4f69-b0a9-b385993b30ef,Appointments,010 4402155,Riggs.Emergency@dept.healthcare.nl,"['nl', 'en']",027-6331162,True
ae89522d-51e5-4930-b856-8c5a92801d93,Emergency,(0590) 188424,Riggs.Cpommunity@dept.healthcare.org,"['nl', 'en']",+31616-048469,True
f45c8fa5-f917-4946-ae71-a43162140561,Staff,(0846) 477996,Riggs.Psychiatric@dept.healthcare.nl,['nl'],(0303) 524308,True
6e22c4cf-462b-4b2c-b2ec-79e931bc1294,Emergency,+3110 1269407,Rigg.sGeriatric@dept.healthcare.org,['nl'],+3139 9880320,True
a6ba2d9f-c15d-45d9-b4ef-6f3d2328b491,Staff,+31(0)720 904314,Riggs.Hematologic@dept.healthcare.nl,"['nl', 'en']",0773-498674,True
995fea40-2198-48a4-97b9-6391b34bd6b5,Appointments,(008) 1065335,Riggs.Plastic@dept.healthcare.nl,['nl'],+31(0)10-7644694,True
141bc517-1f7b-4876-ab5c-14d198afa51d,Information,(0605) 867996,Rigs.Otolaryngologic@dept.healthcare.org,"['nl', 'en']",0991-242898,True
2d153670-8519-4d56-b9c6-4591c3610b1e,Information,(0098) 416565,Riggs.Dentistry@dept.healthcare.nl,"['nl', 'en']",+31(0)350-019861,True
da640733-f4ca-467e-8bdd-d3119a7be128,Emergency,0426-963913,Riggs.Primary@dept.healthcare.org,"['nl', 'en']",0724-240035,
df447ad0-aa90-41ea-baa4-4e5656986b69,Emergency,(074)-6598211,Rigs.Pulmonary@dept.healthcare.org,['nl'],+31(0)641 894827,True
7b306db3-4665-414e-8d99-7dd50cb69958,Information,516.929.9513,Mathis.Laboratdory@dept.healthcare.org,"['et', 'en']",001-691-983-8727x95321,True
47a97204-e10b-40bb-847b-df6d1ad5a364,Referrals,538.395.0218x13265,Mathisg.Toxicologic@dept.healthcare.org,"['et', 'en']",(532)537-9645x24465,True
00a396f4-7f46-42c8-8728-278b074cacb1,Information,+1-404-437-2028x35763,Makthis.Laboratory@dept.healthcare.org,['et'],+1-578-992-0906x20396,True
82d9f42c-a419-4a9c-8d29-f94b070c03d6,Staff,+1-557-350-1390x164,MathisP.sychiatric@dept.healthcare.org,['et'],935-578-6833x61770,True
3288ceef-ee7c-440f-90e2-ce5de5a6a0c2,Information,913-765-4098,Mathis.Primary@dept.healthcare.org,"['et', 'en']",+1-715-440-4006x5079,
a1d7c424-d61f-47af-8461-93edf3648bc9,Staff,001-713-521-4775x023,Mathis.Cadiovascular@dept.healthcare.org,"['et', 'en']",3048290745,True
bc3a6da3-9933-46fc-85a2-1ba1fea7503e,Referrals,5452299746,Mathiis.Diet@dept.healthcare.org,['et'],(784)326-4940,True
f2756e37-f880-44a6-a634-93890857f99a,Information,(0945) 365865,PriceRobinson.Gastroenteroloogic@dept.healthcare.org,['nl'],+31664-381415,True
2d205e47-d4a1-4604-a032-8fbe83f2bec9,Staff,0257 193634,PriceRobinson.Dentistry@dept.healthcare.org,['nl'],009 5894508,
239656e1-d92c-483d-b05f-38b7b57c6774,Staff,(0361) 141526,PriceRobinson.Emergency@dept.healthcare.nl,['nl'],+3113 1233851,True
6e8f2b06-cd5b-4443-b9a9-3ae94bc84985,Appointments,(031)-9509423,PriceRobinson.Obstetric@dept.healthcare.nl,"['nl', 'en']",0879 859362,True
473ac79a-cbed-4b45-93b8-c9d7d7ac7609,Emergency,0740 190587,PriceRobinson.Rspiratory@dept.healthcare.org,"['nl', 'en']",+31(0)97-1305645,True
e9b62157-7af2-4002-8a53-13e2ac58833a,Referrals,+31926-844529,PriceRobinson.Endocrine@dept.healthcare.org,"['nl', 'en']",013 7153472,
3ace0ef4-8442-465c-be12-8f3d5d2c3631,Appointments,032 1567698,PriceRobinson.Musculoskeletal@dept.healthcare.org,"['nl', 'en']",+31(0)095-224292,
f28c14ae-ced6-4a2e-b5f1-2df85ea375d0,Appointments,+31298-978166,PriecRobinson.Emergency@dept.healthcare.org,['nl'],057-9567127,True
442b6ef4-bd34-4219-81c1-171e0125e467,Referrals,+31(0)98 7338672,PriceRobinson.Neurologic@dept.healthcare.nl,['nl'],098 4481074,True
f2d2f39f-a1d3-4a77-9816-fcbafb99f1f8,Referrals,0901-133345,PriceRobxinson.Rheumatologic@dept.healthcare.org,"['nl', 'en']",+31(0)86 3381050,True
e3d2b6ec-d6e8-44fd-bf32-14583670bb7c,Referrals,+31(0)77-5923559,WilliamsWilliams.Detnistry@dept.healthcare.org,"['nl', 'en']",+31(0)96 6558627,True
6882a5bc-3bd4-40eb-8fe1-32e7e6b35a6d,Staff,090-0938555,WilliamsWilliams.Community@dept.healthcare.nl,['nl'],+31894 020185,True
f09e2fd8-19a6-4a14-90bf-9066dcf3d418,Referrals,(0180)-741517,WilliamsWilliams.Dentistry@dept.healthcare.nl,"['nl', 'en']",+31866-189026,True
488e5792-11d1-4e32-b2c7-cd148392dccb,Information,(054)-1527076,WilliamsWilliams.Gastroenterologic@dept.healthcare.nl,"['nl', 'en']",0530-539813,True
a67672ce-368c-491a-b3c5-6c3bd4a3c100,Referrals,038-4595699,WilliamsWilliams.Dentistry@dept.healthcare.org,['nl'],+31(0)16-3037583,True
dcdca078-002b-43ea-b61d-d8ee24f7bd9a,Staff,+31209-986267,WilliamsWilliams.Community@dept.healthcare.nl,['nl'],047 5469681,True
86121d09-1f46-4fbc-9259-bbb566221672,Appointments,+31(0)559-254972,WilliamsWilliams.Infectious@dept.healthcare.org,['nl'],(0417) 241258,
b5d3f81e-3a91-4206-9987-cc1ea85d6867,Appointments,+3105-5131860,WilliamsWilliams.Onclogic@dept.healthcare.org,"['nl', 'en']",+31(0)943-281583,True
238daf4d-e121-417f-8332-80bec4f7d5e8,Staff,0506-090390,WilliamsWilliams.Gastroenterrologic@dept.healthcare.org,['nl'],+31(0)138 665113,True
7576d33d-e783-4832-92e3-fe0c108a8721,Referrals,+31486-719061,WilliamsWilliams.Endocrine@dept.healthcare.org,['nl'],+3148-0052135,
00c6d39d-46d4-4c9e-910a-e8840f1445b8,Referrals,876-767-5502x71852,Daniel.Neurologic@dept.healthcare.et,"['et', 'en']",7762925773,True
40d66047-d49f-4e30-9d89-3b8ab8ebfa91,Information,507-800-2072,Daniel.Dentistry@dept.healthcare.et,['et'],(203)528-0312,True
34390ed5-1961-480c-856c-27d4952881e7,Appointments,(373)813-7056,Daniel.Physiothherapy@dept.healthcare.org,['et'],(669)386-4268,True
316ea0ff-bf92-4e02-b6f7-dd1331d4978e,Referrals,688.430.5334x4664,Daniiel.Primary@dept.healthcare.org,['et'],9322973887,True
bf1ecbf5-58ba-4361-b5ca-3f906e2edd80,Emergency,001-842-534-9974x42438,Daniel.Surgical@dept.healthcare.org,['et'],508.224.9534,
17ad0080-b552-4a7d-9c6d-ea018a5f168d,Information,001-944-984-5940x05165,Daniel.Psychiiatric@dept.healthcare.org,['et'],001-658-622-0693x123,True
0538770f-441f-422c-9327-c1f6511a56bc,Emergency,871.274.3660,Daniel.Surgical@dept.healthcare.org,"['et', 'en']",(417)435-0278x7680,
62d9bfc6-3140-466e-b6a4-dedfa8b81d4b,Referrals,+1-419-534-4037,Daniel.Endocrine@dept.healthcare.et,"['et', 'en']",(300)575-8600x802,True
fd63da14-579f-4804-879e-df5592435eb6,Staff,(0371)-586979,Lam.Gsatroenterologic@dept.healthcare.org,"['nl', 'en']",(031) 4676244,True
6ff7aa2c-7534-4a34-8fd8-fe648606d028,Emergency,+3177-0494329,Lam.Gylnecologic@dept.healthcare.org,"['nl', 'en']",0481-166815,True
99264a99-ae58-4189-9e5c-b94d6a490456,Referrals,+31(0)888 996052,Lam.Urologic@dept.healthcare.nl,"['nl', 'en']",+31(0)840-500035,True
a782676e-b101-4740-8b66-6bfb3dc4dfe8,Staff,+31(0)690 529750,Lam.Infectious@dept.healthcare.nl,['nl'],0438 982697,True
3753cd7f-9120-41f3-bfa4-d73d05c8ffe4,Staff,(091)-0046863,Lam.Obstetric@dept.healthcare.nl,"['nl', 'en']",069 8057358,True
ae9aeac6-5fff-460c-ab96-f9749634eed5,Information,0411 389532,Lam.Gynecologic@dept.healthcare.org,['nl'],(061)-5012116,
03b31520-b03d-4732-aab7-1549e167f953,Information,041-6851453,Lam.Midifery@dept.healthcare.org,['nl'],+31(0)51-0703141,True
