row,original_id,field_name,original_value,varied_value,variation_type,entity_type,duplicate_id
11,5af4c197-a7d5-4c9c-adb9-0017cbac30fd,personName,Paul Morris,Morris Paul,Name Order Change,Person,Person12
11,5af4c197-a7d5-4c9c-adb9-0017cbac30fd,jobTitle,Obstetrician,,omission,HealthcarePersonnel,Person12
12,053f06dd-2915-47a9-b4a1-c7ad481214bd,jobTitle,Renal Dietitian,,omission,HealthcarePersonnel,Person13
12,053f06dd-2915-47a9-b4a1-c7ad481214bd,knowsLanguage,de,German,Language Representation Change,Person,Person13
12,053f06dd-2915-47a9-b4a1-c7ad481214bd,personName,Karen Howard,Howard Karen,Name Order Change,Person,Person13
12,053f06dd-2915-47a9-b4a1-c7ad481214bd,jobTitle,Renal Dietitian,Renal Diettiian,Job Title Typo,HealthcarePersonnel,Person13
12,053f06dd-2915-47a9-b4a1-c7ad481214bd,email,karenhoward@healthcare.org,karknhoward@healthcare.org,Email Typo,HealthcarePersonnel,Person13
13,76a3d0f7-998d-476a-aac4-55c92f7a8e02,birthDate,1965-03-28,,omission,Person,Person14
13,76a3d0f7-998d-476a-aac4-55c92f7a8e02,personName,Eric Moore,Moore Eric,Name Order Change,Person,Person14
13,76a3d0f7-998d-476a-aac4-55c92f7a8e02,birthDate,1965-03-28,28-03-1965,Birth Date Format Change,Person,Person14
13,76a3d0f7-998d-476a-aac4-55c92f7a8e02,email,ericmoore@healthcare.org,ericmoqre@healthcare.org,Email Typo,HealthcarePersonnel,Person14
13,76a3d0f7-998d-476a-aac4-55c92f7a8e02,jobTitle,Dialysis Nurse,Dailysis Nurse,Job Title Typo,HealthcarePersonnel,Person14
14,3bf56c91-c4ab-41df-8ed2-07d57378928b,jobTitle,Neurologist,Neuroloigst,Job Title Typo,HealthcarePersonnel,Person15
14,3bf56c91-c4ab-41df-8ed2-07d57378928b,personName,Timothy Thompson,Thompson Timothy,Name Order Change,Person,Person15
14,3bf56c91-c4ab-41df-8ed2-07d57378928b,knowsLanguage,nl,Dutch,Language Representation Change,Person,Person15
14,3bf56c91-c4ab-41df-8ed2-07d57378928b,birthDate,1980-11-10,10-11-1980,Birth Date Format Change,Person,Person15
14,3bf56c91-c4ab-41df-8ed2-07d57378928b,email,timothythompson@healthcare.org,timathythompson@healthcare.org,Email Typo,HealthcarePersonnel,Person15
14,3bf56c91-c4ab-41df-8ed2-07d57378928b,knowsLanguage,nl,,omission,Person,Person15
15,f679abc5-4912-4df7-a28f-87a00f7b2413,email,ronaldmoreno@healthcare.org,rynaldmoreno@healthcare.org,Email Typo,HealthcarePersonnel,Person16
15,f679abc5-4912-4df7-a28f-87a00f7b2413,jobTitle,Obstetric Nurse,Obstteric Nurse,Job Title Typo,HealthcarePersonnel,Person16
15,f679abc5-4912-4df7-a28f-87a00f7b2413,email,ronaldmoreno@healthcare.org,,omission,HealthcarePersonnel,Person16
16,cee87db3-fd33-4d0e-8d68-f5eb872bdd70,jobTitle,Doula,Doual,Job Title Typo,HealthcarePersonnel,Person17
16,cee87db3-fd33-4d0e-8d68-f5eb872bdd70,jobTitle,Doula,,omission,HealthcarePersonnel,Person17
16,cee87db3-fd33-4d0e-8d68-f5eb872bdd70,email,markcortez@healthcare.org,markportez@healthcare.org,Email Typo,HealthcarePersonnel,Person17
17,ac2d7f4e-8a19-44df-9536-ded98fb34a1e,knowsLanguage,nl,,omission,Person,Person18
18,d05520ae-7d7b-4f54-865d-4e2dccdeb3c4,jobTitle,EEG Technician,,omission,HealthcarePersonnel,Person19
19,7f70cc70-8866-476c-9331-55ef28354b1b,email,heatherhogan@healthcare.org,,omission,HealthcarePersonnel,Person20
19,7f70cc70-8866-476c-9331-55ef28354b1b,personName,Heather Hogan,Hogan Heather,Name Order Change,Person,Person20
20,0c4a89ce-0597-40f5-b096-840aec8dd76e,email,kathleenmullins@healthcare.org,,omission,HealthcarePersonnel,Person21
20,0c4a89ce-0597-40f5-b096-840aec8dd76e,knowsLanguage,nl,Dutch,Language Representation Change,Person,Person21
20,0c4a89ce-0597-40f5-b096-840aec8dd76e,birthDate,1974-07-01,01-07-1974,Birth Date Format Change,Person,Person21
20,0c4a89ce-0597-40f5-b096-840aec8dd76e,jobTitle,CT Scan Technician,CT Scan Tecnhician,Job Title Typo,HealthcarePersonnel,Person21
20,0c4a89ce-0597-40f5-b096-840aec8dd76e,personName,Kathleen Mullins,K. Mullins,Name Abbreviation,Person,Person21
21,d2bec313-1a06-4dbd-9d07-442ee29f714a,jobTitle,Nutrition Counselor,Nturition Counselor,Job Title Typo,HealthcarePersonnel,Person22
21,d2bec313-1a06-4dbd-9d07-442ee29f714a,email,jamesknapp@healthcare.org,jamfsknapp@healthcare.org,Email Typo,HealthcarePersonnel,Person22
21,d2bec313-1a06-4dbd-9d07-442ee29f714a,email,jamesknapp@healthcare.org,,omission,HealthcarePersonnel,Person22
22,cbf5b541-6cfe-48dc-a0c6-f318029e1c3f,email,brentjones@healthcare.org,brxntjones@healthcare.org,Email Typo,HealthcarePersonnel,Person23
22,cbf5b541-6cfe-48dc-a0c6-f318029e1c3f,birthDate,1996-09-30,,omission,Person,Person23
23,0395edd8-10a0-41e4-81bc-9e48e84ddfc8,email,angelweaver@healthcare.org,angelweaqer@healthcare.org,Email Typo,HealthcarePersonnel,Person24
23,0395edd8-10a0-41e4-81bc-9e48e84ddfc8,birthDate,1973-05-04,,omission,Person,Person24
23,0395edd8-10a0-41e4-81bc-9e48e84ddfc8,jobTitle,Ophthalmologist,Ophthalmologsit,Job Title Typo,HealthcarePersonnel,Person24
24,f47591bc-c718-4812-8ba6-6229d8191e6c,jobTitle,Vision Therapist,Vision Tehrapist,Job Title Typo,HealthcarePersonnel,Person25
24,f47591bc-c718-4812-8ba6-6229d8191e6c,birthDate,1990-03-05,,omission,Person,Person25
24,f47591bc-c718-4812-8ba6-6229d8191e6c,email,tylerrodriguez@healthcare.org,tylerpodriguez@healthcare.org,Email Typo,HealthcarePersonnel,Person25
25,db29c218-2d69-4b77-8f40-b3880cc6985b,jobTitle,Plastic Surgeon,,omission,HealthcarePersonnel,Person26
25,db29c218-2d69-4b77-8f40-b3880cc6985b,birthDate,1978-01-25,25-01-1978,Birth Date Format Change,Person,Person26
25,db29c218-2d69-4b77-8f40-b3880cc6985b,jobTitle,Plastic Surgeon,Plastic Surgeno,Job Title Typo,HealthcarePersonnel,Person26
25,db29c218-2d69-4b77-8f40-b3880cc6985b,personName,Mrs. Robyn Gardner,M. Robyn Gardner,Name Abbreviation,Person,Person26
26,f17bd3a3-daa9-49ea-9a7d-036eb9339b1b,email,patrickmcdonald@healthcare.org,,omission,HealthcarePersonnel,Person27
27,b86e8e83-0c8a-4413-a529-5cd14a21a277,birthDate,1998-01-29,,omission,Person,Person28
28,ffdbf61f-bb4b-451f-b3aa-90815cabce60,jobTitle,Child Life Specialist,Child Life Specilaist,Job Title Typo,HealthcarePersonnel,Person29
28,ffdbf61f-bb4b-451f-b3aa-90815cabce60,email,olivianelson@healthcare.org,,omission,HealthcarePersonnel,Person29
29,aad57272-e76a-4639-9573-c7e5b1c59a0d,knowsLanguage,et,,omission,Person,Person30
29,aad57272-e76a-4639-9573-c7e5b1c59a0d,personName,Samuel Freeman,S. Freeman,Name Abbreviation,Person,Person30
29,aad57272-e76a-4639-9573-c7e5b1c59a0d,birthDate,1993-05-09,09-05-1993,Birth Date Format Change,Person,Person30
30,9003698a-947f-4677-93d5-7a5d14b940d4,jobTitle,Ophthalmologist,,omission,HealthcarePersonnel,Person31
30,9003698a-947f-4677-93d5-7a5d14b940d4,email,pamelayork@healthcare.org,pamelayrrk@healthcare.org,Email Typo,HealthcarePersonnel,Person31
31,c5110450-1a4c-41e9-98ad-bd400497f2c6,jobTitle,CT Scan Technician,CT ScanT echnician,Job Title Typo,HealthcarePersonnel,Person32
31,c5110450-1a4c-41e9-98ad-bd400497f2c6,personName,Justin Huber,J. Huber,Name Abbreviation,Person,Person32
31,c5110450-1a4c-41e9-98ad-bd400497f2c6,email,justinhuber@healthcare.org,jgstinhuber@healthcare.org,Email Typo,HealthcarePersonnel,Person32
31,c5110450-1a4c-41e9-98ad-bd400497f2c6,knowsLanguage,et,,omission,Person,Person32
32,48ea5a56-7010-480a-af5c-18a85a12e96f,email,erinanderson@healthcare.org,,omission,HealthcarePersonnel,Person33
32,48ea5a56-7010-480a-af5c-18a85a12e96f,knowsLanguage,nl,Dutch,Language Representation Change,Person,Person33
32,48ea5a56-7010-480a-af5c-18a85a12e96f,birthDate,1983-12-01,01-12-1983,Birth Date Format Change,Person,Person33
32,48ea5a56-7010-480a-af5c-18a85a12e96f,personName,Erin Anderson,Anderson Erin,Name Order Change,Person,Person33
33,8d9fc5bb-b04e-4114-92b2-52e20bef77b9,email,michaelmarquez@healthcare.org,,omission,HealthcarePersonnel,Person34
33,8d9fc5bb-b04e-4114-92b2-52e20bef77b9,jobTitle,Optometrist,Optometrits,Job Title Typo,HealthcarePersonnel,Person34
33,8d9fc5bb-b04e-4114-92b2-52e20bef77b9,email,michaelmarquez@healthcare.org,michaelmavquez@healthcare.org,Email Typo,HealthcarePersonnel,Person34
34,79afe7fd-b6ac-4f61-8b6e-26d7200fdfb8,jobTitle,Pediatrician,Pediatircian,Job Title Typo,HealthcarePersonnel,Person35
34,79afe7fd-b6ac-4f61-8b6e-26d7200fdfb8,email,carolynmoore@healthcare.org,,omission,HealthcarePersonnel,Person35
34,79afe7fd-b6ac-4f61-8b6e-26d7200fdfb8,email,carolynmoore@healthcare.org,carolypmoore@healthcare.org,Email Typo,HealthcarePersonnel,Person35
35,1f68497c-8199-4b6f-9590-1aedc7adbcb1,knowsLanguage,et,,omission,Person,Person36
35,1f68497c-8199-4b6f-9590-1aedc7adbcb1,personName,Daniel Glover,Glover Daniel,Name Order Change,Person,Person36
36,fec73137-0e94-4750-9858-ae084794f991,birthDate,1994-11-18,,omission,Person,Person37
36,fec73137-0e94-4750-9858-ae084794f991,email,kristihenderson@healthcare.org,kristihendkrson@healthcare.org,Email Typo,HealthcarePersonnel,Person37
36,fec73137-0e94-4750-9858-ae084794f991,personName,Kristi Henderson,K. Henderson,Name Abbreviation,Person,Person37
36,fec73137-0e94-4750-9858-ae084794f991,jobTitle,Optician,Opticain,Job Title Typo,HealthcarePersonnel,Person37
37,eb718df2-e0c9-4ddb-8679-dc41cc9dca07,knowsLanguage,nl,,omission,Person,Person38
37,eb718df2-e0c9-4ddb-8679-dc41cc9dca07,knowsLanguage,nl,Dutch,Language Representation Change,Person,Person38
37,eb718df2-e0c9-4ddb-8679-dc41cc9dca07,birthDate,1989-06-29,29-06-1989,Birth Date Format Change,Person,Person38
37,eb718df2-e0c9-4ddb-8679-dc41cc9dca07,personName,Cynthia Moreno,C. Moreno,Name Abbreviation,Person,Person38
37,eb718df2-e0c9-4ddb-8679-dc41cc9dca07,jobTitle,Optometrist,Optmoetrist,Job Title Typo,HealthcarePersonnel,Person38
37,eb718df2-e0c9-4ddb-8679-dc41cc9dca07,email,cynthiamoreno@healthcare.org,cynthcamoreno@healthcare.org,Email Typo,HealthcarePersonnel,Person38
38,021d14e0-9899-43f4-b54d-f31abc6121cb,email,christopherespinoza@healthcare.org,christophlrespinoza@healthcare.org,Email Typo,HealthcarePersonnel,Person39
38,021d14e0-9899-43f4-b54d-f31abc6121cb,jobTitle,Plastic Surgeon,PlasticS urgeon,Job Title Typo,HealthcarePersonnel,Person39
38,021d14e0-9899-43f4-b54d-f31abc6121cb,jobTitle,Plastic Surgeon,,omission,HealthcarePersonnel,Person39
39,a1b05717-123e-48f3-a856-b84dac9ac64e,jobTitle,Reconstructive Specialist,Reconstructive Sepcialist,Job Title Typo,HealthcarePersonnel,Person40
39,a1b05717-123e-48f3-a856-b84dac9ac64e,birthDate,1964-11-26,,omission,Person,Person40
40,3febbe3a-bfcb-457c-bd51-e65febe0557a,email,philliprichardson@healthcare.org,,omission,HealthcarePersonnel,Person41
41,ff6581ca-1748-4b1c-9d61-b002011b529e,knowsLanguage,nl,,omission,Person,Person42
41,ff6581ca-1748-4b1c-9d61-b002011b529e,email,anthonygilbert@healthcare.org,anthonygilbewt@healthcare.org,Email Typo,HealthcarePersonnel,Person42
41,ff6581ca-1748-4b1c-9d61-b002011b529e,jobTitle,Vision Therapist,Vision Therapits,Job Title Typo,HealthcarePersonnel,Person42
42,ac8822f8-2831-4bdf-b3b7-c415367a413f,jobTitle,X-Ray Technician,,omission,HealthcarePersonnel,Person43
43,1fae9d17-471d-4a2e-9f53-d03e90d96339,jobTitle,Plastic Surgeon,,omission,HealthcarePersonnel,Person44
43,1fae9d17-471d-4a2e-9f53-d03e90d96339,email,brittanykim@healthcare.org,brittanhkim@healthcare.org,Email Typo,HealthcarePersonnel,Person44
43,1fae9d17-471d-4a2e-9f53-d03e90d96339,birthDate,1966-09-14,14-09-1966,Birth Date Format Change,Person,Person44
43,1fae9d17-471d-4a2e-9f53-d03e90d96339,personName,Brittany Kim,B. Kim,Name Abbreviation,Person,Person44
43,1fae9d17-471d-4a2e-9f53-d03e90d96339,jobTitle,Plastic Surgeon,Plasti cSurgeon,Job Title Typo,HealthcarePersonnel,Person44
44,070ac028-e7b2-436a-9a1c-27488294e021,personName,Kathleen Fowler,K. Fowler,Name Abbreviation,Person,Person45
44,070ac028-e7b2-436a-9a1c-27488294e021,knowsLanguage,de,German,Language Representation Change,Person,Person45
44,070ac028-e7b2-436a-9a1c-27488294e021,knowsLanguage,de,,omission,Person,Person45
44,070ac028-e7b2-436a-9a1c-27488294e021,birthDate,1988-05-26,26-05-1988,Birth Date Format Change,Person,Person45
45,976e6de5-b434-4ec5-b23d-b86b6449cb26,birthDate,1974-06-11,11-06-1974,Birth Date Format Change,Person,Person46
45,976e6de5-b434-4ec5-b23d-b86b6449cb26,personName,Stephanie Owen,Owen Stephanie,Name Order Change,Person,Person46
45,976e6de5-b434-4ec5-b23d-b86b6449cb26,knowsLanguage,nl,Dutch,Language Representation Change,Person,Person46
45,976e6de5-b434-4ec5-b23d-b86b6449cb26,email,stephanieowen@healthcare.org,,omission,HealthcarePersonnel,Person46
46,20fd8edf-a20e-42ab-a504-458552b1540d,personName,Kevin Carter,K. Carter,Name Abbreviation,Person,Person47
46,20fd8edf-a20e-42ab-a504-458552b1540d,knowsLanguage,et,,omission,Person,Person47
46,20fd8edf-a20e-42ab-a504-458552b1540d,birthDate,1990-07-27,27-07-1990,Birth Date Format Change,Person,Person47
47,fc63b1fb-1023-4f86-b25b-c3708f04c96d,knowsLanguage,nl,,omission,Person,Person48
47,fc63b1fb-1023-4f86-b25b-c3708f04c96d,email,kendralopez@healthcare.org,keddralopez@healthcare.org,Email Typo,HealthcarePersonnel,Person48
48,eb8afc40-af24-4d5a-b896-72f64e00b989,email,jameswhitaker@healthcare.org,,omission,HealthcarePersonnel,Person49
48,eb8afc40-af24-4d5a-b896-72f64e00b989,jobTitle,Diet Technician,Diet Tecnhician,Job Title Typo,HealthcarePersonnel,Person49
49,1b3252e9-7a59-4681-a02d-7023437200a4,jobTitle,Child Life Specialist,,omission,HealthcarePersonnel,Person50
49,1b3252e9-7a59-4681-a02d-7023437200a4,email,brandonfuller@healthcare.org,brandoxfuller@healthcare.org,Email Typo,HealthcarePersonnel,Person50
49,1b3252e9-7a59-4681-a02d-7023437200a4,jobTitle,Child Life Specialist,Chil dLife Specialist,Job Title Typo,HealthcarePersonnel,Person50
50,0d94bd4b-56b8-4e72-851c-53c18e479952,knowsLanguage,nl,,omission,Person,Person51
51,01b7a7c7-d2a9-483e-b3a3-6fc5de974c55,birthDate,1961-04-21,,omission,Person,Person52
51,01b7a7c7-d2a9-483e-b3a3-6fc5de974c55,birthDate,1961-04-21,21-04-1961,Birth Date Format Change,Person,Person52
51,01b7a7c7-d2a9-483e-b3a3-6fc5de974c55,personName,Kristin Lopez,Lopez Kristin,Name Order Change,Person,Person52
52,3bc4b4b2-a018-4f61-b8b2-2eb38ededebd,personName,Tamara Anderson,T. Anderson,Name Abbreviation,Person,Person53
52,3bc4b4b2-a018-4f61-b8b2-2eb38ededebd,email,tamaraanderson@healthcare.org,,omission,HealthcarePersonnel,Person53
52,3bc4b4b2-a018-4f61-b8b2-2eb38ededebd,knowsLanguage,nl,Dutch,Language Representation Change,Person,Person53
52,3bc4b4b2-a018-4f61-b8b2-2eb38ededebd,jobTitle,Foot Care Nurse,Foot Caer Nurse,Job Title Typo,HealthcarePersonnel,Person53
53,bd1f8f39-b80e-434b-af89-ee8cf5d9b00c,jobTitle,Foot Care Nurse,,omission,HealthcarePersonnel,Person54
53,bd1f8f39-b80e-434b-af89-ee8cf5d9b00c,email,dawnjackson@healthcare.org,dawndackson@healthcare.org,Email Typo,HealthcarePersonnel,Person54
53,bd1f8f39-b80e-434b-af89-ee8cf5d9b00c,personName,Dawn Jackson,Jackson Dawn,Name Order Change,Person,Person54
54,e7f98bb5-537f-4759-9539-2b6e8bc0e5bf,email,stephaniemendoza@healthcare.org,,omission,HealthcarePersonnel,Person55
55,c30ccdd8-1cda-4e2b-8ced-b02dc0dc83c7,birthDate,1960-05-23,23-05-1960,Birth Date Format Change,Person,Person56
55,c30ccdd8-1cda-4e2b-8ced-b02dc0dc83c7,personName,Peter Bush,Bush Peter,Name Order Change,Person,Person56
55,c30ccdd8-1cda-4e2b-8ced-b02dc0dc83c7,email,peterbush@healthcare.org,,omission,HealthcarePersonnel,Person56
55,c30ccdd8-1cda-4e2b-8ced-b02dc0dc83c7,email,peterbush@healthcare.org,peterbosh@healthcare.org,Email Typo,HealthcarePersonnel,Person56
56,f121910e-b580-4601-8f69-8312c844e82b,email,marycampbell@healthcare.org,mamycampbell@healthcare.org,Email Typo,HealthcarePersonnel,Person57
56,f121910e-b580-4601-8f69-8312c844e82b,personName,Mary Campbell,Campbell Mary,Name Order Change,Person,Person57
56,f121910e-b580-4601-8f69-8312c844e82b,jobTitle,Anesthesiologist,,omission,HealthcarePersonnel,Person57
56,f121910e-b580-4601-8f69-8312c844e82b,birthDate,1996-09-11,11-09-1996,Birth Date Format Change,Person,Person57
56,f121910e-b580-4601-8f69-8312c844e82b,knowsLanguage,nl,Dutch,Language Representation Change,Person,Person57
57,0d10734c-c711-4dca-9401-38321122da51,birthDate,1969-05-28,28-05-1969,Birth Date Format Change,Person,Person58
57,0d10734c-c711-4dca-9401-38321122da51,personName,Julie Valencia,J. Valencia,Name Abbreviation,Person,Person58
57,0d10734c-c711-4dca-9401-38321122da51,jobTitle,Anesthesiologist,Anestehsiologist,Job Title Typo,HealthcarePersonnel,Person58
57,0d10734c-c711-4dca-9401-38321122da51,knowsLanguage,de,,omission,Person,Person58
57,0d10734c-c711-4dca-9401-38321122da51,knowsLanguage,de,German,Language Representation Change,Person,Person58
58,db8a4c7f-f41d-47b3-b083-75a3556744ac,email,kevinsolis@healthcare.org,,omission,HealthcarePersonnel,Person59
58,db8a4c7f-f41d-47b3-b083-75a3556744ac,email,kevinsolis@healthcare.org,kevcnsolis@healthcare.org,Email Typo,HealthcarePersonnel,Person59
59,b5d858b9-f269-4daf-9e3c-dacad0db9f19,jobTitle,Orthopedic Nurse,,omission,HealthcarePersonnel,Person60
59,b5d858b9-f269-4daf-9e3c-dacad0db9f19,personName,Randy Stein,R. Stein,Name Abbreviation,Person,Person60
59,b5d858b9-f269-4daf-9e3c-dacad0db9f19,email,randystein@healthcare.org,raydystein@healthcare.org,Email Typo,HealthcarePersonnel,Person60
60,cf61fbd5-15be-46c0-9bbe-10d2b4a50102,personName,James Kim,J. Kim,Name Abbreviation,Person,Person61
60,cf61fbd5-15be-46c0-9bbe-10d2b4a50102,birthDate,1977-01-27,,omission,Person,Person61
61,898cc7ae-fa29-4675-b1a0-9fb4143f5774,jobTitle,Epidemiologist,Epidemiologsit,Job Title Typo,HealthcarePersonnel,Person62
61,898cc7ae-fa29-4675-b1a0-9fb4143f5774,knowsLanguage,nl,Dutch,Language Representation Change,Person,Person62
61,898cc7ae-fa29-4675-b1a0-9fb4143f5774,personName,Jacqueline Williams,Williams Jacqueline,Name Order Change,Person,Person62
61,898cc7ae-fa29-4675-b1a0-9fb4143f5774,email,jacquelinewilliams@healthcare.org,jacquelznewilliams@healthcare.org,Email Typo,HealthcarePersonnel,Person62
61,898cc7ae-fa29-4675-b1a0-9fb4143f5774,email,jacquelinewilliams@healthcare.org,,omission,HealthcarePersonnel,Person62
62,666fd7d1-0bea-4838-a9c6-c559d42f0328,personName,Darryl Bell,D. Bell,Name Abbreviation,Person,Person63
62,666fd7d1-0bea-4838-a9c6-c559d42f0328,birthDate,1963-04-26,26-04-1963,Birth Date Format Change,Person,Person63
62,666fd7d1-0bea-4838-a9c6-c559d42f0328,knowsLanguage,de,,omission,Person,Person63
63,96e743ae-f3dc-4608-b3f5-5dae23bbbc63,jobTitle,Neurosurgeon,Neruosurgeon,Job Title Typo,HealthcarePersonnel,Person64
63,96e743ae-f3dc-4608-b3f5-5dae23bbbc63,birthDate,1962-07-21,,omission,Person,Person64
64,d5221afa-f98d-434f-9904-6f5305039e3b,jobTitle,MRI Technologist,,omission,HealthcarePersonnel,Person65
64,d5221afa-f98d-434f-9904-6f5305039e3b,personName,Gail Gomez,G. Gomez,Name Abbreviation,Person,Person65
64,d5221afa-f98d-434f-9904-6f5305039e3b,knowsLanguage,nl,Dutch,Language Representation Change,Person,Person65
65,b8d0b72f-3da8-4e21-96a9-19ab1f8f1161,birthDate,1969-05-16,16-05-1969,Birth Date Format Change,Person,Person66
65,b8d0b72f-3da8-4e21-96a9-19ab1f8f1161,personName,Kathryn Gonzalez,K. Gonzalez,Name Abbreviation,Person,Person66
65,b8d0b72f-3da8-4e21-96a9-19ab1f8f1161,email,kathryngonzalez@healthcare.org,,omission,HealthcarePersonnel,Person66
66,55468e35-e4f4-4b76-9961-c661232b2901,birthDate,1978-06-20,20-06-1978,Birth Date Format Change,Person,Person67
66,55468e35-e4f4-4b76-9961-c661232b2901,personName,Tara Butler,Butler Tara,Name Order Change,Person,Person67
66,55468e35-e4f4-4b76-9961-c661232b2901,knowsLanguage,de,German,Language Representation Change,Person,Person67
66,55468e35-e4f4-4b76-9961-c661232b2901,birthDate,1978-06-20,,omission,Person,Person67
66,55468e35-e4f4-4b76-9961-c661232b2901,email,tarabutler@healthcare.org,tarabutljr@healthcare.org,Email Typo,HealthcarePersonnel,Person67
